Key,English
trapsSkillMagazineDT,Electrical Traps
foodSkillMagazineDT,Home Cooking Weekly
bowsSkillMagazineDT,Bow Hunters
handgunsSkillMagazineDT,Handgun Magazine
machineGunsSkillMagazineDT,Tactical Warfare
riflesSkillMagazineDT,Rifle World
shotgunsSkillMagazineDT,Shotgun Weekly
medicalSkillMagazineDT,Medical Journal
bladesSkillMagazineDT,Knife Guy
clubsSkillMagazineDT,Big Hitters
knucklesSkillMagazineDT,Furious Fists
sledgehammersSkillMagazineDT,Get Hammered
spearsSkillMagazineDT,Sharp Sticks
roboticsSkillMagazineDT,Tech Planet
explosivesSkillMagazineDT,Explosive Magazine

npcTraderJen, Dawnrox
npcTraderJoel, Shadow_Floodlight

zombieBiker,Raziel_MacCloud
zombieBikerFeral,Feral Raziel_MacCloud
zombieBikerRadiated,Radiated Raziel_MacCloud

zombieBoe,w00kie n00kie
zombieBoeFeral,Feral w00kie n00kie
zombieBoeRadiated,Radiated w00kie n00kie

zombieBurnt,FlameWizo
zombieBurntFeral,Feral FlameWizo
zombieBurntRadiated,Radiated FlameWizo

zombieDarlene,Loveshack65
zombieDarleneFeral,Feral Loveshack65
zombieDarleneRadiated,Radiated Loveshack65

zombieJanitor,HellsJanitorTV
zombieJanitorFeral,Feral HellsJanitorTV
zombieJanitorRadiated,Radiated HellsJanitorTV

zombieLab,CharmCuddler
zombieLabFeral,Feral CharmCuddler
zombieLabRadiated,Radiated CharmCuddler

zombieLumberjack,Zenn5150
zombieLumberjackFeral,Feral Zenn5150
zombieLumberjackRadiated,Radiated Zenn5150

zombieMaleHazmat,Riven
zombieMaleHazmatFeral,Feral Riven
zombieMaleHazmatRadiated,Radiated Riven

zombieMarlene,TechnoBeatz
zombieMarleneFeral,Feral TechnoBeatz
zombieMarleneRadiated,Radiated TechnoBeatz

zombieMoe,Angelacus
zombieMoeFeral,Feral Angelacus
zombieMoeRadiated,Radiated Angelacus

zombieNurse,ArrantHealer
zombieNurseFeral,Feral ArrantHealer
zombieNurseRadiated,Radiated ArrantHealer

zombieYo,Sarcoth
zombieYoFeral,Feral Sarcoth
zombieYoRadiated,Radiated Sarcoth

zombieTomClark,Devilskut
zombieTomClarkRadiated,Radiated Devilskut
zombieTomClarkFeral,Feral Devilskut

zombiePartyGirl,ElainethePaine
zombiePartyGirlFeral,Feral ElainethePaine
zombiePartyGirlRadiated,Radiated Elainethepaine

zombieBusinessMan,Yubinashi
zombieBusinessManFeral,Feral Yubinashi
zombieBusinessManRadiated,Radiated Yubinashi

zombieSoldier,Techie
zombieSoldierFeral,Feral Techie
zombieSoldierRadiated,Radiated Techie

zombieJoe,Astryael
zombieJoeFeral,Feral Astryael
zombieJoeRadiated,Radiated Astryael

zombieSteve,Frantic_Dan
zombieSteveFeral,Feral Frantic_Dan
zombieSteveRadiated,Radiated Frantic_Dan

zombieSteveCrawler,PitchieB
zombieSteveCrawlerFeral,Feral PitchieB

animalBossGrace,SpeedyPig69

animalWolf,Korbulas
animalDireWolf,Raging Korbulas

animalRabbit,Killer Bunny
animalZombieBear,Reclining Gamer

animalZombieVulture,Phancy
animalZombieVultureRadiated,Spicy Dragonfly

zombieWightFeral,Feral DeathAngel
zombieWightRadiated,Radiated DeathAngel

animalSnake,Viper 7
animalSnakeRadiated,Spicy Viper 7

zombieUtilityWorker,Seamen
zombieUtilityWorkerRadiated,Major Johnson
zombieUtilityFeral,Private Willie

zombieArlene,DeaditeGirl
zombieArleneFeral,Feral DeaditeGirl
zombieArleneRadiated,Radiated DeaditeGirl

zombieSpider,NuttyMonkey15
zombieSpiderFeral,Feral NuttyMonkey15
zombieSpiderRadiation,Radiated NuttyMonkey15

zombieScreamer,MoonLuna
zombieScreamerFeral,Feral MoonLuna
zombieScreamerRadiated,Radiated MoonLuna

zombieSkateboarder,TylerGMS
zombieSkateboarderFeral,Feral TylerGMS
zombieSkateboarderRadiated,Radiated TylerGMS

zombieFatHawaiian,Shrader
zombieFatHawaiianFeral,Feral Shrader
zombieFatHawaiianRadiated,Radiated Shrader

zombieFemaleFat,GizmosGifts
zombieFemaleFatFeral,Feral GizmosGifts
zombieFemaleFatRadiated,Radiated GizmosGifts

zombieMutated,HamandLiz
zombieMutatedFeral,HamandLiz Feral
zombieMutatedRadiated,HamandLiz Radiated

loadingTipAircraft1,"All seed crafting is unlocked by default, and some seeds only require a couple of food items to make. There are NO usuable farmplots in the ship ..."
loadingTipAircraft1_title,Seeds asshole
loadingTipAircraft2,"Almost every zombie will drop a loot bag once dead, and specific zombies will have a chance to drop specific loot."
loadingTipAircraft2_title,Zombie Loot
loadingTipAircraft3,"Skill magazines can be found in their usual places, and certain zombies have a chance to give certain magazines in their loot bag."
loadingTipAircraft3_title,Skill Magazines
loadingTipAircraft4,"Loot respawn is integral to completing this challenge. Loot will automatically restock after a certain period of time, determined by the 'Loot Respawn' number you set before starting the game."
loadingTipAircraft4_title,Looting
loadingTipAircraft5,"Zombies can now be set to respawn after a time you decide. Check the 'Aircraft' tab on the main menu, and set the number of days you want between zombies respawning on the ship."
loadingTipAircraft5_title,Zombie respawns
loadingTipAircraft6,"Resources are scarce in the ship, but you will be able to find or craft everything you need to complete the challenge. Some resources, like old cash, can be used in recipes - so make sure you check the recipes for EVERYTHING. Also, some of the rarer resources, like acid, can now be crafted. It can also be looted from zombies - along with antibiotics and beakers."
loadingTipAircraft6_title,Resources
loadingTipAircraft7,"Crafting workstations, and tools like the crucible, and vehicles themselves, take fewer magazines to read before they unlock."
loadingTipAircraft7_title,Crafting
loadingTipAircraft8,"Trying to leave the ship other than by UH-60 is a very bad idea ..."
loadingTipAircraft8_title,Cheating
loadingTipAircraft9,"Certain in-game functions, like zombie health bars and XP pop-ups, can be enabled or disabled from the pause menu. Pause the game, click 'video' then the 'Customization' tab."
loadingTipAircraft9_title,Customization
loadingTipAircraft10,"Thanks to w00kien00kie for the custom code, Khelldon for the custom menu, Frantic_Dan for ideas & xpath help, Zilox, Midnight Designer, SphereII, and Pitchsilent for the original base mod and concept."
loadingTipAircraft10_title,Special Thanks
loadingTipAircraft11,"Horde nights, better suck it up, buttercup."
loadingTipAircraft11_title,Horde Night
loadingTipAircraft12,"There are many changes from vanilla for resource gathering. Clay soil, for example, can be found by harvesting potted plants, farm plots, and destroyed stone"
loadingTipAircraft12_title,Aircraft Resources
loadingTipAircraft13,"You can lock slots in your inventory by hovering over a slot and pressing 'X'. The slot will have a green border, indicating it is locked."
loadingTipAircraft13_title,Locked Slots
loadingTipAircraft14,"Keep it repaired. Look after your wrench, and your wrench will look after you."
loadingTipAircraft14_title,Wrench

resourcePaper,"Classified Document" 
resourcePaperDesc,"EAM\n FROM: USLANTFLT\n TO: USS SAN PAULO\n MESSAGE AS FOLLOWS:\n Movement to G.S. ATL-001 to acquire TP for bunghole (and other ""supplies"")"

tutorialTipQuest01,"Welcome Aboard the Aircraft Carrier Challenge.\n\nFight your way thru the carrier, looting and crafting everything you need to craft a UH-60 to make your escape from the carrier. \n\nRULES:\n1. You must enter the Aircraft Carrier immediately ( The tent and U-boats count as being on the carrier) and cannot leave thereafter.\n2. The ground around the carrier is [ff7f27]SPICY[-] and may [ff7f27]NOT[-] be used to support any structures, or to grow any crops, unless you can do this [ff7f27]WITHOUT[-] touching it. \n3. You may build off the side of the carrier to reach things, but must support themselves and cannot touch the ground.\n4. You may not mine or dig under the carrier.\n5. All default game settings, unless you are a seasoned gamer.\n6. It is recommended to have loot and sleeper respawns set to [ff7f27]7 DAYS[-].\n7. You must survive until you are able to build a UH-60 and fly off the carrier to complete your [ff7f27]FINAL MISSION[-].\n\nIf  [ff7f27]ANYONE[-] dies, the mission is over. [cd5c5c]PERMADEATH CHALLENGE[-]"

tutorialTipQuest01_title,Started The Aircraft Carrier Challenge

challenge_StartingCarrier,"Welcome aboard!"
challenge_StartingCarrier_offer,"Up for a Challenge?"
challenge_StartingCarrier_description,"So you think you can handle the[cd5c5c] Aircraft Carrier Challenge? The worlds gone to hell in a handbasket, and you think you can just leisurely walk in for some fun?\n\nYeh, right."
challenge_StartingCarrier_subtitle,"Prove your worth."


dishongTowerBundle,Aircraft Carrier Challenge Starter Items,,
dishongTowerBundleDesc,Starter items for the Aircraft carrier challenge.,,

quest_CarrierChallenge,"Head to a trader"
quest_CarrierChallenge_offer,"Find your way to a trader."
quest_CarrierChallenge_description,"To find the trader, go through orange roller door behind the tanks. Through cargo storage, then upstairs to briefing rooms."
quest_CarrierChallenge_subtitle,"Find your trader."

quest_CarrierChallenge01,"Fetch my supplies"
quest_CarrierChallenge01_offer,"Gather Jen's supplies."
quest_CarrierChallenge01_description,"Gather Jen's supplies."
quest_CarrierChallenge01_subtitle,"Gather Jen's supplies."

quest_CarrierChallenge02,"Gather some UH-60 Parts - 1"
quest_CarrierChallenge02_offer,"Gather resources for the UH-60 accessories."
quest_CarrierChallenge02_description,"Gather resources for the UH-60 accessories."
quest_CarrierChallenge02_subtitle,"Gather resources for the UH-60 accessories."

quest_CarrierChallenge03,"Gather more UH-60 Parts - 2"
quest_CarrierChallenge03_offer,"Gather resources for the UH-60 chassis."
quest_CarrierChallenge03_description,"Gather resources for the UH-60 chassis."
quest_CarrierChallenge03_subtitle,"Gather resources for the UH-60 chassis."

quest_CarrierChallenge04,"Restore power to the Bridge!"
quest_CarrierChallenge04_offer,"Restore power to the Bridge."
quest_CarrierChallenge04_description,"Restore power to the Bridge."
quest_CarrierChallenge04_subtitle,"Restore power to the Bridge."

quest_CarrierChallenge05,"Assemble UH-60 Parts"
quest_CarrierChallenge05_offer,"Gather all the parts to craft a UH-60, and craft the UH-60."
quest_CarrierChallenge05_description,"Gather all the parts to craft a UH-60, and craft the UH-60."
quest_CarrierChallenge05_subtitle,"Go help Trader Joel."

quest_CarrierChallenge06,"Go help Trader Joel"
quest_CarrierChallenge06_offer,"Fly! Fly, my pretty!! Trader Joel needs help!!"
quest_CarrierChallenge06_description,"Escape the Carrier!"
quest_CarrierChallenge06_subtitle,"Escape the Carrier!"

Challenge_Completion,"You made it!!"
Challenge_Completion_offer,"Challenge complete!"
Challenge_Completion_description,"Congratulations on escaping the Carrier!"
Challenge_Completion_subtitle,"Congratulations!"

Quest_Completion_tip_title,Completed The Aircraft Carrier Challenge
Quest_Completion_tip,"Congratulations! \n\nYou have successfully completed the Aircraft Carrier challenge!"
